Phenotype,HGNC
"?Ciliary dyskinesia, primary, 41",GAS2L2
Leber congenital amaurosis 5,LCA5
"Albinism, brown oculocutaneous",OCA2
"Albinism, oculocutaneous, type II",OCA2
"?Deafness, autosomal recessive 104",RIPOR2
"Deafness, autosomal dominant 21",RIPOR2
"Developmental delay, hypotonia, musculoskeletal defects, and behavioral abnormalities",SRCAP
Floating-Harbor syndrome,SRCAP
"Microcephaly 8, primary, autosomal recessive",CEP135
Microcephaly-micromelia syndrome,DONSON
"Microcephaly, short stature, and limb abnormalities",DONSON
Spermatogenic failure 37,TTC21A
"Hyper-IgE syndrome 2, autosomal recessive, with recurrent infections",DOCK8
"?Aplasia cutis congenita, nonsyndromic",BMS1
"GM1-gangliosidosis, type I",GLB1
"GM1-gangliosidosis, type II",GLB1
"GM1-gangliosidosis, type III",GLB1
Mucopolysaccharidosis type IVB (Morquio),GLB1
"Short stature, amelogenesis imperfecta, and skeletal dysplasia with scoliosis",SLC10A7
"?Osteopetrosis, autosomal recessive 6",PLEKHM1
"Osteopetrosis, autosomal dominant 3",PLEKHM1
"Intellectual developmental disorder, autosomal dominant 1",MBD5
"?Hip dysplasia, Beukes type",UFSP2
Developmental and epileptic encephalopathy 106,UFSP2
"Spondyloepimetaphyseal dysplasia, Di Rocco type",UFSP2
"Microcephaly, epilepsy, and diabetes syndrome 2",YIPF5
?Premature ovarian failure 12,SYCE1
?Spermatogenic failure 15,SYCE1
"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis",CA2
"Ichthyosis, congenital, autosomal recessive 5",CYP4F22
"Congenital heart defects, multiple types, 5",GATA5
Mucopolysaccharidosis VII,GUSB
Cerebellar dysfunction with variable cognitive and behavioral abnormalities,CAMTA1
Wolfram syndrome 2,CISD2
?Short stature and microcephaly with genital anomalies,CENPT
Zaki syndrome,WLS
"Pontocerebellar hypoplasia, type 6",RARS2
Bowen-Conradi syndrome,EMG1
?Immunodeficiency 99 with hypogammaglobulinemia and autoimmune cytopenias,CTNNBL1
"{Autoimmune disease, susceptibility to, 1}",FOXD3
Mucopolysaccharidosis type VI (Maroteaux-Lamy),ARSB
"Congenital contractures of the limbs and face, hypotonia, and developmental delay",NALCN
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 1",NALCN
"{Malaria, mild, susceptibility to}",NCR3
Spermatogenic failure 10,SEPTIN12
Alkuraya-Kucinskas syndrome,BLTP1
"Fructose-1,6-bisphosphatase deficiency",FBP1
Calvarial doughnut lesions with bone fragility with or without spondylometaphyseal dysplasia,SGMS2
Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities,KDM6B
Combined oxidative phosphorylation deficiency 14,FARS2
"Spastic paraplegia 77, autosomal recessive",FARS2
Burn-McKeown syndrome,TXNL4A
"Spastic paraplegia 62, autosomal recessive",ERLIN1
"Spastic paraplegia 18A, autosomal dominant",ERLIN2
"Spastic paraplegia 18B, autosomal recessive",ERLIN2
"Deafness, autosomal dominant 50",MIR96
"Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities",PGM2L1
Intellectual developmental disorder and retinitis pigmentosa,SCAPER
Developmental and epileptic encephalopathy 21,NECAP1
"Corneal dystrophy, Schnyder type",UBIAD1
Megalencephalic leukoencephalopathy with subcortical cysts 2A,HEPACAM
"Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without impaired intellectual development",HEPACAM
Developmental and epileptic encephalopathy 38,ARV1
"Deafness, autosomal recessive 100",PPIP5K2
Joubert syndrome 21,CSPP1
"Neurodevelopmental disorder with dysmorphic features, spasticity, and brain abnormalities",PGAP1
Warburg micro syndrome 4,TBC1D20
"Intellectual developmental disorder, autosomal recessive 68",TRMT1
"Folate malabsorption, hereditary",SLC46A1
"Hydatidiform mole, recurrent, 2",KHDC3L
Spinocerebellar ataxia 11,TTBK2
"Congenital disorder of glycosylation, type Iq",SRD5A3
Kahrizi syndrome,SRD5A3
"Cutis laxa, autosomal recessive, type IIA",ATP6V0A2
Wrinkly skin syndrome,ATP6V0A2
"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",IRF2BPL
"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions",KCTD7
"Spastic paraplegia, optic atrophy, and neuropathy",KLC2
"Adenoma, periampullary, somatic",APC
Adenomatous polyposis coli,APC
Brain tumor-polyposis syndrome 2,APC
"Desmoid disease, hereditary",APC
Gardner syndrome,APC
Gastric adenocarcinoma and proximal polyposis of the stomach,APC
"Hepatoblastoma, somatic",APC
"Lipase deficiency, combined",LMF1
"Ichthyosis, lamellar, autosomal dominant",ASPRV1
Combined oxidative phosphorylation deficiency 15,MTFMT
"Mitochondrial complex I deficiency, nuclear type 27",MTFMT
Conotruncal heart malformations,NKX2-6
"Mitochondrial complex I deficiency, nuclear type 15",NDUFAF4
Brugada syndrome 2,GPD1L
Hyperphosphatasia with impaired intellectual development syndrome 4,PGAP3
Spinocerebellar ataxia 38,ELOVL5
"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies",ELOVL1
Combined oxidative phosphorylation deficiency 59,MRPL39
Combined oxidative phosphorylation deficiency 16,MRPL44
Chitayat syndrome,ERF
Craniosynostosis 4,ERF
Leukodystrophy and acquired microcephaly with or without dystonia,PLEKHG2
"Spondyloepiphyseal dysplasia, Nishimura type",MIR140
"Neuronopathy, distal hereditary motor, autosomal recessive 7",VWA1
"Congenital disorder of glycosylation, type In",RFT1
"Cataract 47, juvenile, with microcornea",SLC16A12
"Myopathy with lactic acidosis, hereditary",ISCU
"Amelogenesis imperfecta, type IIIA",FAM83H
"Homocystinuria, cblD type, variant 1",MMADHC
"Methylmalonic aciduria and homocystinuria, cblD type",MMADHC
"Methylmalonic aciduria, cblD type, variant 2",MMADHC
?Meckel syndrome 10,B9D2
Joubert syndrome 34,B9D2
Hypotrichosis 15,C3orf52
"Intellectual developmental disorder, autosomal recessive 13",TRAPPC9
Combined oxidative phosphorylation deficiency 36,MRPS2
?Combined oxidative phosphorylation deficiency 34,MRPS7
?Combined oxidative phosphorylation deficiency 38,MRPS14
?Combined oxidative phosphorylation deficiency 46,MRPS23
?Combined oxidative phosphorylation deficiency 50,MRPS25
?Combined oxidative phosphorylation deficiency 47,MRPS28
Combined oxidative phosphorylation deficiency 32,MRPS34
Hypertriglyceridemia 2,CREB3L3
{Parkinson disease 11},GIGYF2
"Spastic paraplegia 15, autosomal recessive",ZFYVE26
COACH syndrome 2,CC2D2A
Joubert syndrome 9,CC2D2A
Meckel syndrome 6,CC2D2A
Retinitis pigmentosa 93,CC2D2A
Nephronophthisis 12,TTC21B
Short-rib thoracic dysplasia 4 with or without polydactyly,TTC21B
"Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies",OTUD6B
Thyroid dyshormonogenesis 4,IYD
Alazami syndrome,LARP7
Siddiqi syndrome,FITM2
"Cortical dysplasia, complex, with other brain malformations 10",APC2
"Intellectual developmental disorder, autosomal recessive 74",APC2
Combined oxidative phosphorylation deficiency 8,AARS2
"Leukoencephalopathy, progressive, with ovarian failure",AARS2
Developmental and epileptic encephalopathy 75,PARS2
?Spermatogenic failure 62,RNF212
Recombination rate QTL 1,RNF212
Arrhythmogenic right ventricular dysplasia 5,TMEM43
"Auditory neuropathy, autosomal dominant 3",TMEM43
"Emery-Dreifuss muscular dystrophy 7, AD",TMEM43
Spinocerebellar ataxia 31,BEAN1
Oocyte/zygote/embryo maturation arrest 13,ZFP36L2
"?Congenital disorder of glycosylation, type IIy",GET4
"?Alopecia, neurologic defects, and endocrinopathy syndrome",RBM28
Brittle cornea syndrome 1,ZNF469
"Mitochondrial complex III deficiency, nuclear type 4",UQCRQ
"Intellectual developmental disorder, autosomal dominant 45",CIC
"?Cholestasis, progressive familial intrahepatic, 6",SLC51A
"?Bile acid malabsorption, primary, 2",SLC51B
Cowden syndrome 4,KLLN
"Porokeratosis 8, disseminated superficial actinic type",SLC17A9
"?Lipodystrophy, familial partial, type 5",CIDEC
"Ichthyosis, congenital, autosomal recessive 10",PNPLA1
?Mitochondrial myopathy with lactic acidosis,PNPLA8
"{Fatty liver disease, protection from}",HSD17B13
"[Skin/hair/eye pigmentation 10, blond/brown hair]",TPCN2
Bone marrow failure syndrome 4,MYSM1
"[Acetylation, slow]",NAT2
"?Deafness, autosomal dominant 71",DMXL2
?Polyendocrine-polyneuropathy syndrome,DMXL2
Developmental and epileptic encephalopathy 81,DMXL2
"Diabetes mellitus, transient neonatal 1",ZFP57
Mucopolysaccharidosis IVA,GALNS
Lethal congenital contracture syndrome 9,ADGRG6
{Medulloblastoma predisposition syndrome},GPR161
Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations,MAST1
Developmental and epileptic encephalopathy 108,MAST3
Cone-rod dystrophy 19,TTLL5
Galloway-Mowat syndrome 10,YRDC
Geleophysic dysplasia 1,ADAMTSL2
Fucosidosis,FUCA1
"Thrombophilia 3 due to protein C deficiency, autosomal dominant",PROC
"Thrombophilia 3 due to protein C deficiency, autosomal recessive",PROC
?Aniridia 3,TRIM44
{Budd-Chiari syndrome},F5
"{Pregnancy loss, recurrent, susceptibility to, 1}",F5
"{Thrombophilia, susceptibility to, due to factor V Leiden}",F5
Factor V deficiency,F5
Thrombophilia 2 due to activated protein C resistance,F5
"Palmoplantar keratoderma, nonepidermolytic, focal or diffuse",KRT6C
Harel-Yoon syndrome,ATAD3A
"Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal",ATAD3A
Combined oxidative phosphorylation deficiency 44,FASTKD2
Spermatogenic failure 76,CCDC34
"{Epilepsy, juvenile myoclonic, susceptibility to, 10}",CILK1
Endocrine-cerebroosteodysplasia,CILK1
?Glutathioninuria,GGT1
"[Hyperphenylalaninemia, non-PKU mild]",PAH
Phenylketonuria,PAH
Craniofacial microsomia 2,FOXI3
[High molecular weight kininogen deficiency],KNG1
[Kininogen deficiency],KNG1
"Angioedema, hereditary, 6",KNG1
"Mitochondrial complex I deficiency, nuclear type 16",NDUFAF5
Histiocytosis-lymphadenopathy plus syndrome,SLC29A3
"STING-associated vasculopathy, infantile-onset",STING1
"Neurodegeneration with developmental delay, early respiratory failure, myoclonic seizures, and brain abnormalities",MED11
"Protoporphyria, erythropoietic, 1",FECH
Fanconi renotubular syndrome 5,NDUFAF6
"Mitochondrial complex I deficiency, nuclear type 17",NDUFAF6
"Muscular dystrophy, congenital, megaconial type",CHKB
Oocyte/zygote/embryo maturation arrest 15,TLE6
Hennekam lymphangiectasia-lymphedema syndrome 2,FAT4
Van Maldergem syndrome 2,FAT4
"Deafness, autosomal recessive 63",LRTOMT
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2",TMEM70
Retinitis pigmentosa 25,EYS
Koolen-De Vries syndrome,KANSL1
"Congenital myopathy 10A, severe variant",MEGF10
"Congenital myopathy 10B, mild variant",MEGF10
Developmental and epileptic encephalopathy 76,ACTL6B
Intellectual developmental disorder with severe speech and ambulation defects,ACTL6B
"{Diabetes mellitus, noninsulin-dependent, 5}",TBC1D4
"[Beta-aminoisobutyric acid, urinary excretion of]",AGXT2
Sessile serrated polyposis cancer syndrome,RNF43
Immunodeficiency 115 with autoinflammation,RNF31
"Myopathy, distal, 5",ADSS1
3MC syndrome 2,COLEC11
"?Hypertrichosis, congenital generalized, with gingival hyperplasia",ABCA5
Woodhouse-Sakati syndrome,DCAF17
"Ciliary dyskinesia, primary, 10",DNAAF2
"Contractural arachnodactyly, congenital",FBN2
"Macular degeneration, early-onset",FBN2
"?Deafness, autosomal recessive 115",SPNS2
"Methylmalonic aciduria and homocystinuria, cblF type",LMBRD1
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 2",UNC80
"Mitochondrial complex I deficiency, nuclear type 14",NDUFA11
"Spherocytosis, type 1",ANK1
"Ciliary dyskinesia, primary, 11",RSPH4A
"Ciliary dyskinesia, primary, 12",RSPH9
"Macrocephaly/megalencephaly syndrome, autosomal recessive",TBC1D7
Mitchell-Riley syndrome,RFX6
"Intellectual developmental disorder, autosomal dominant 71, with behavioral abnormalities",RFX7
"Dyskeratosis congenita, autosomal recessive 3",WRAP53
Congenital anomalies of kidney and urinary tract 1,DSTYK
"Spastic paraplegia 23, autosomal recessive",DSTYK
"Hyperphenylalaninemia, BH4-deficient, C",QDPR
Spermatogenic failure 81,TEKT3
RIDDLE syndrome,RNF168
"Hyperphenylalaninemia, BH4-deficient, A",PTS
"Fructose intolerance, hereditary",ALDOB
Coproporphyria,CPOX
Harderoporphyria,CPOX
?Spermatogenic failure 85,SPACA1
Hennekam lymphangiectasia-lymphedema syndrome 1,CCBE1
"Hyperlipoproteinemia, type 1D",GPIHBP1
"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type",TAPT1
Adermatoglyphia,SMARCAD1
Basan syndrome,SMARCAD1
Huriez syndrome,SMARCAD1
Liberfarb syndrome,PISD
Thyroid dyshormonogenesis 5,DUOXA2
"[Blood group, Auberger system]",BCAM
"[Blood group, Lutheran null]",BCAM
"[Blood group, Lutheran system]",BCAM
"Intellectual developmental disorder, autosomal dominant 70",SETD2
Luscan-Lumish syndrome,SETD2
Rabin-Pappas syndrome,SETD2
5-fluorouracil toxicity,DPYD
Dihydropyrimidine dehydrogenase deficiency,DPYD
Lenz-Majewski hyperostotic dwarfism,PTDSS1
Combined oxidative phosphorylation deficiency 12,EARS2
Combined oxidative phosphorylation deficiency 27,CARS2
"Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",IARS2
Combined oxidative phosphorylation deficiency 20,VARS2
"?Deafness, autosomal recessive 94",NARS2
Combined oxidative phosphorylation deficiency 24,NARS2
"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis",SARS2
Combined oxidative phosphorylation deficiency 21,TARS2
"Osteogenesis imperfecta, type XXIII",PHLDB1
Holoprosencephaly 14,PLCH1
"Coenzyme Q10 deficiency, primary, 5",COQ9
Immunodeficiency 75,TET2
"Mitochondrial complex II deficiency, nuclear type 2",SDHAF1
"Cortical dysplasia, complex, with other brain malformations 7",TUBB2B
"?Myasthenic syndrome, congenital, 15, without tubular aggregates",ALG14
"Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies",ALG14
"Myopathy, epilepsy, and progressive cerebral atrophy",ALG14
Chung-Jansen syndrome,PHIP
"Epidermolysis bullosa simplex 4, localized or generalized intermediate, autosomal recessive",EXPH5
"Robinow syndrome, autosomal recessive 2",NXN
"Coenzyme Q10 deficiency, primary, 7",COQ4
"Spastic ataxia 10, autosomal recessive",COQ4
"Macrothrombocytopenia, isolated, 1, autosomal dominant",TUBB1
Retinitis pigmentosa and erythrocytic microcytosis,TRNT1
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",TRNT1
"Mitochondrial complex I deficiency, nuclear type 18",NDUFAF3
"?Deafness, autosomal recessive 98",TSPEAR
"Ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis",TSPEAR
"Tooth agenesis, selective, 10",TSPEAR
Glycogen storage disease X,PGAM2
"Leukoencephalopathy, cystic, without megalencephaly",RNASET2
"Mitochondrial complex IV deficiency, nuclear type 8",TACO1
"?Deafness, autosomal recessive 109",ESRP1
"{Retinal disease in Usher syndrome type IIA, modifier of}",PDZD7
"Deafness, autosomal recessive 57",PDZD7
"Usher syndrome, type IIC, GPR98/PDZD7 digenic",PDZD7
Optic atrophy 7,TMEM126A
Bohring-Opitz syndrome,ASXL1
Shashi-Pena syndrome,ASXL2
Cone-rod dystrophy 18,RAB28
Huntington disease,HTT
Lopes-Maciel-Rodan syndrome,HTT
Pontocerebellar hypoplasia type 2D,SEPSECS
?Urocanase deficiency,UROC1
"Tyrosinemia, type II",TAT
Pheochromocytoma/paraganglioma syndrome 2,SDHAF2
Oxoglutarate dehydrogenase deficiency,OGDH
"Spinocerebellar ataxia, autosomal recessive 2",PMPCA
Joubert syndrome 1,INPP5E
"Mental retardation, truncal obesity, retinal dystrophy, and micropenis",INPP5E
{Glioma susceptibility 7},CCDC26
"Deafness, autosomal recessive 77",LOXHD1
"Intellectual developmental disorder, autosomal dominant 39",MYT1L
"GM2-gangliosidosis, AB variant",GM2A
Galactosialidosis,CTSA
"Leukemia, juvenile myelomonocytic",NF1
Neurofibromatosis-Noonan syndrome,NF1
"Neurofibromatosis, familial spinal",NF1
"Neurofibromatosis, type 1",NF1
Watson syndrome,NF1
"Neuropathy, hereditary sensory and autonomic, type IIB",RETREG1
"Cardiomyopathy, dilated, 1CC",NEXN
"Cardiomyopathy, hypertrophic, 20",NEXN
Cerebroretinal microangiopathy with calcifications and cysts 2,STN1
Cerebroretinal microangiopathy with calcifications and cysts,CTC1
Exudative vitreoretinopathy 5,TSPAN12
EDICT syndrome,MIR184
"von Willebrand disease, type 1",VWF
"von Willebrand disease, type 3",VWF
"von Willebrand disease, types 2A, 2B, 2M, and 2N",VWF
Desbuquois dysplasia 1,CANT1
"Epiphyseal dysplasia, multiple, 7",CANT1
Alpha-2-plasmin inhibitor deficiency,SERPINF2
"{Hodgkin lymphoma, susceptibility to}",KLHDC8B
"Cardiomyopathy, dilated, 1DD",RBM20
Alzahrani-Kuwahara syndrome,SMG8
Heart and brain malformation syndrome,SMG9
"Neurodevelopmental disorder with intention tremor, pyramidal signs, dyspraxia, and ocular anomalies",SMG9
Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia,BOLA3
"Ciliary dyskinesia, primary, 13",DNAAF1
"Xeroderma pigmentosum, group C",XPC
"Methemoglobinemia, type I",CYB5R3
"Methemoglobinemia, type II",CYB5R3
"Amelogenesis imperfecta, type IIA3",WDR72
Methemoglobinemia and ambiguous genitalia,CYB5A
Aspartylglucosaminuria,AGA
Prolidase deficiency,PEPD
"Cortical dysplasia, complex, with other brain malformations 11",KIF26A
"{Thyrotoxic periodic paralysis, susceptibility to, 2}",KCNJ18
"Myopathy with rimmed ubiquitin-positive autophagic vacuolation, autosomal dominant",PLIN4
"Microcephaly, short stature, and impaired glucose metabolism 2",PPP1R15B
"Xanthinuria, type II",MOCOS
Poikiloderma with neutropenia,USB1
Joubert syndrome 2,TMEM216
Meckel syndrome 2,TMEM216
"Fanconi anemia, complementation group P",SLX4
"Intellectual developmental disorder, autosomal recessive 56",ZC3H14
"Deafness, autosomal recessive 25",GRXCR1
Frank-ter Haar syndrome,SH3PXD2B
ACCES syndrome,UBA2
"Epilepsy, familial adult myoclonic, 3",MARCHF6
"Hypogonadotropic hypogonadism 22, with or without anosmia",FEZF1
"Intellectual developmental disorder, autosomal recessive 71",ALKBH8
?Combined oxidative phosphorylation deficiency 19,LYRM4
Dihydropyrimidinuria,DPYS
Retinitis pigmentosa 86,KIAA1549
Gyrate atrophy of choroid and retina with or without ornithinemia,OAT
?Fazio-Londe disease,SLC52A3
Brown-Vialetto-Van Laere syndrome 1,SLC52A3
"Intellectual developmental disorder, autosomal recessive 70",RSRC1
"Deafness, autosomal recessive 79",TPRN
Cone-rod dystrophy 21,DRAM2
Short-rib thoracic dysplasia 11 with or without polydactyly,DYNC2I2
"?Epilepsy, myoclonic, familial adult, 4",YEATS2
"Homocystinuria, B6-responsive and nonresponsive types",CBS
"Thrombosis, hyperhomocysteinemic",CBS
Keratosis linearis with ichthyosis congenita and sclerosing keratoderma,POMP
Proteasome-associated autoinflammatory syndrome 2,POMP
"Nephrotic syndrome, type 21",AVIL
"Arthrogryposis, renal dysfunction, and cholestasis 2",VIPAS39
[Bone mineral density QTL 15],MIR2861
